Industry,Stage,Revenue,Company_Age,Profit_Margin,Employee_Count,Growth_Rate,Operating_Expenses,Net_Profit,Marketing_Budget,R&D_Budget,Operations_Cost,Salaries,Legal_Compliance,Miscellaneous
Retail,Mature,7306217,4,-2.1212552740198642,725,11.385751848722979,7603683,2910180,804180.771283403,750285.8135874396,3566759.7461069543,5352614.583333333,87880.72077932913,207016.16228349152
Retail,Early-stage,8933922,1,28.390529935563663,202,1.2616218640394274,5671942,4834319,1640016.9703942942,340460.6777046516,3877298.4256526986,1850185.3333333333,335170.8500972008,416237.0198449905
Finance,Early-stage,6626152,17,-5.54737995958264,22,13.399976287448144,7184108,2878125,643971.2386370848,266965.56196339277,3282031.640421706,108865.16666666667,260984.36315565128,206399.7575768681
Manufacturing,Early-stage,7758789,11,-1.9413806232871114,815,2.7477661870430543,7109479,2058859,1214475.5132298134,590123.3236741277,4015592.5487247193,3708182.0833333335,115061.76977010912,208528.75528422414
Healthcare,Early-stage,4338962,19,31.816262704351033,944,49.90626972113739,7383476,603393,835866.6629331396,308909.65804828843,4429029.574428819,8250009.333333333,163330.3582222567,139058.54204042905
Manufacturing,Mature,4143721,9,5.992915556912502,621,33.040108274456784,325779,2896042,778886.9161200944,467169.5342822496,138037.09870021246,4057614.0,157295.8674258887,98031.52051498943
Retail,Mature,381282,4,20.044690578589673,985,7.01093057600705,5038237,292702,76060.30273022974,49948.78478509794,2683278.65477244,9775057.916666666,8634.784227812175,13777.265803967312
Healthcare,Seed,6457957,14,12.590688192488273,243,28.3656180113071,7857283,4478842,979527.4539290471,922193.6318333609,3331896.534243882,866781.0,170984.22512670618,201192.80368693706
Tech,Mature,651326,19,14.23565260134123,374,10.758285881882133,1597612,4051627,120284.13673254775,57985.98173237643,1009032.9443275862,2759340.8333333335,11747.04152101131,22161.89964196992
Healthcare,Mature,4917119,12,0.9901189854740178,354,25.393469737782677,4199432,1928897,543930.7765630933,467179.36928658665,2706754.8817982543,2568388.0,231716.7110777992,93830.50838332379
Manufacturing,Mature,3992382,6,25.633057675057287,658,43.74937867373193,6280489,3247157,439446.8506678618,513111.2376408821,3383971.8658896005,5403002.5,110530.33038742084,131268.11627938377
Finance,Growth-stage,3326908,17,9.094508189805438,84,42.08745660180779,5121524,1136487,177240.98094244258,277518.4047982027,2289356.1807082263,733488.0,91439.8579529583,61271.542345037604
Finance,Mature,7130117,13,27.84031318248303,831,7.422592712659121,2778149,1164840,910667.3791490989,680099.3103471828,1375468.121115085,8088053.75,354135.17414218356,217328.96335909827
Finance,Seed,9351643,1,9.694802294851833,311,26.31886735694334,3033400,2726127,1206449.786344524,1351746.54685275,1424037.910615001,1580838.9166666667,438391.30608310987,359463.92267817125
Finance,Mature,2636204,4,-6.746020884066686,711,44.635576012340756,3760659,4835776,506883.50470368576,226097.09763643,1582938.7061582084,5209200.75,111791.2370960273,65967.37383985972
Healthcare,Growth-stage,9277349,11,-9.857703723026091,136,-1.3358516775243485,4016248,1681068,1629062.894924348,939515.1018792351,1924616.875257379,1030982.0,253956.19765211488,228877.7252862338
Manufacturing,Growth-stage,2062069,11,33.102613473754595,48,8.098984557135488,7451374,1795559,241889.01469402545,100566.4693042565,4741003.508586783,461548.0,44683.46111592983,70016.54931665811
Tech,Growth-stage,1988786,5,38.81238106461684,424,37.11815525014566,3541647,2150610,270311.1023175118,69997.0034687642,2112572.0011331984,2927614.0,99168.16743597246,61621.354570352894
Healthcare,Growth-stage,3024812,12,30.599272417130557,209,23.637052232315213,470825,2940928,341988.1293228426,149160.27689505974,285390.7738169766,1350610.25,145156.81109438202,35356.48405519923
Manufacturing,Early-stage,6652777,13,30.78494403153676,45,3.7467362115176073,1029544,-188462,543861.6678176267,479374.8212522745,432731.0808059306,195465.0,190796.96226895938,168590.26886350603
Healthcare,Mature,7086423,15,8.316000508987894,440,16.159533868749328,3257596,1027151,514673.0668530207,637791.7891413638,2130210.4579852535,2344393.3333333335,172700.11243376043,277744.1996890638
Manufacturing,Early-stage,8842674,17,30.497687989266353,724,9.518269604622121,3231174,1316224,1724999.1873606401,1135034.3858433713,1497040.6166154982,5228064.333333333,290836.64937054407,392572.35760438023
Retail,Growth-stage,6392488,15,2.008704431509848,223,41.81595135581556,4377576,4626894,442244.5927812956,753350.4173306357,1949266.8694988647,1706358.8333333333,272526.3475372858,249414.42084978474
Tech,Growth-stage,1692332,11,7.613125111093204,507,31.023001636589527,1794615,2786816,151189.18934713592,121289.02440691637,830877.6315639403,1993228.25,79901.6732027513,53989.86836446733
Finance,Seed,8877257,17,20.3527459917533,417,26.73221780276435,890796,3679721,1599334.386151572,666328.5736269339,588970.308079833,3326304.75,381738.31515418837,218850.89616114163
Manufacturing,Growth-stage,5743106,6,32.176211372244566,983,36.73763502978975,4112144,781974,1120780.5829059533,475799.30944351974,1765798.6555754037,8988060.5,250064.36066414366,234084.00417650305
Manufacturing,Growth-stage,3016308,8,7.636601052791011,338,41.25357248266237,448273,2080890,152578.08871226126,177118.365452689,195909.0517306317,1824355.0,110356.12558166674,139068.83425212628
Healthcare,Growth-stage,854290,2,13.140324705647608,316,31.117058686202007,597414,2921854,123912.19231918249,97709.61189014532,264424.68537014496,2184376.3333333335,14096.393783486927,34971.44635979686
Healthcare,Early-stage,3392434,12,38.282285281248825,558,21.557894767425374,6311878,167740,676569.9282162668,504325.30646730156,3402503.5521569024,4127851.5,53077.51143802779,57101.826297982734
Manufacturing,Seed,9200448,14,30.836172989041494,132,41.088961033486136,1435247,3181525,1647258.716716832,1142248.7674283788,755513.1093569292,583583.0,445742.0689039511,164485.34938633256
Tech,Seed,4123776,3,4.6942478085464465,749,26.32317809401928,2321566,4105813,424208.82249289466,152199.42168066476,1217403.8868876325,5725356.0,70453.94356640003,115586.57311863647
Retail,Seed,6192970,13,22.416344634708913,283,10.209627096200993,2414272,259324,762668.3714301067,804731.0838874382,1017896.1521226559,2135942.5,81437.75190916672,212358.98785022524
Finance,Mature,7031468,8,-6.314149684876882,964,9.258840626155884,3600365,4217126,1137611.3312751302,808885.0150132439,2493208.982915664,4758384.333333333,272249.88647924137,127424.32533775787
Manufacturing,Mature,133289,13,16.000240678243813,659,31.598046165723822,577021,3868512,7434.8418433595725,14861.01862719036,303596.41111930576,5497652.583333333,3629.399878389402,3567.6028455357664
Manufacturing,Growth-stage,1662731,8,-1.4375114493729217,245,5.8224711438950845,3987941,410415,195254.75678421304,66039.93331503338,2057588.8194245617,831305.4166666666,39505.335161070216,41972.43737029217
Healthcare,Mature,2345288,19,35.53729436429005,844,21.81824303792881,6867856,905547,119230.21045917159,297068.4069876638,3196711.947730368,5779993.333333333,62848.93736393974,106939.27372446349
Finance,Early-stage,5101892,2,29.83730899995141,910,-0.02762897542530407,945058,1653356,1018108.1654893277,374651.73075036093,535316.37396714,8044475.833333333,127701.20122093614,255066.47570101556
Healthcare,Growth-stage,5129443,18,26.340729508690195,951,20.06164246876194,666976,4318394,835969.8621043261,739696.5208115167,442997.54517449887,5811402.5,240322.84222373378,221009.17217712654
Tech,Growth-stage,3440646,18,4.04731648858823,797,32.18920276478713,265943,3686036,455100.9055613758,341562.6302838788,152848.1012790211,4560699.666666667,110728.12317127988,90091.42093906378
Tech,Mature,6589462,6,35.75396965948886,379,6.342082441644839,1485004,323912,1023686.906047573,358286.19606877834,909131.8001504599,2516149.4166666665,151798.573070274,85545.96541523606
Retail,Early-stage,6093682,15,-7.337197794160341,698,10.540874585132563,3216558,3955463,319641.1983994501,382107.88740094466,1679967.6088869004,3857787.8333333335,274188.3510031293,202796.72672564237
Retail,Seed,2142646,19,19.631773359030994,358,19.876543641683718,6482172,3154212,173866.48784082185,181906.035858679,3359699.0746921934,2663579.6666666665,26994.42975857902,44074.29223683655
Finance,Seed,3585122,14,-7.5699905728970585,775,6.706667878713214,4495847,524904,563015.8001909434,241302.39036304192,2932577.8291325234,5491520.833333333,138046.8166652452,89580.04522248542
Finance,Early-stage,4270417,14,35.43461559298742,260,13.814041875711244,4397488,1439631,336598.945841922,412788.3282041272,2333433.624268319,1849726.6666666667,166385.17523628677,143831.98161639093
Healthcare,Growth-stage,5168246,3,3.967291750592892,527,11.421483497741619,2840936,1044666,636628.1396341271,699921.8552928197,1402488.4250773606,3354750.25,66924.64812503719,213948.57981020788
Finance,Mature,8247226,19,0.3756388089209892,119,17.781361641124903,4470172,2907754,517168.9761578153,407158.783814163,2052701.213709812,604837.3333333334,248914.12792818065,365300.39012178575
Healthcare,Mature,5928503,5,5.970037981618107,285,30.057502544801316,7630558,1806317,828739.3688950373,440646.8100209697,4910663.904372693,2592360.0,167343.8153483604,183617.83945152213
Finance,Mature,6782520,17,16.626133649532974,511,36.846940787592,7085344,244818,746192.9231343669,686933.6462173339,4766852.4135279255,4622633.75,206251.01185447694,111620.24946503641
Tech,Early-stage,6460800,8,15.813422205648106,69,30.62561189846938,624919,1287721,595635.9429148214,294988.4593307906,347865.20014996815,552851.0,134345.6972469286,181305.93754629057
Healthcare,Mature,3713793,2,20.390156723939192,507,19.56236823603517,1332734,3213601,199127.30714648732,357256.0109351014,871566.308597435,2319947.5,177807.26984634617,119192.145517471
Finance,Early-stage,6857865,4,-4.708580386932678,414,31.89714056720365,6785943,4144669,513951.2842195765,509410.8328781932,4292621.895236684,1972986.0,290817.4970017821,150312.8133404562
Manufacturing,Early-stage,3112322,16,36.88692355903761,945,23.77617024279342,3766851,1714052,577629.1021532738,452979.5233602187,2423675.870495416,5692128.75,80152.341946671,41371.17424835091
Tech,Growth-stage,5832421,9,13.9224589871516,530,26.410276988866656,1690360,3297683,1023870.7481588988,634240.111846367,848390.6243847192,5041360.0,66027.6080609595,140122.09848125713
Manufacturing,Seed,7765878,4,12.512359429419398,512,20.566022922760812,26601,2332524,1306916.495377967,570226.7723286406,13013.49393926154,5114453.333333333,235222.76569335483,321446.1035046227
Manufacturing,Mature,1931910,4,25.48367106200434,789,25.25948751442185,528924,-469544,275049.17873699893,225254.46964878056,319192.8821416529,3159945.0,39959.76515141363,31709.237018844622
Manufacturing,Early-stage,4378434,18,22.215704395379916,922,44.23766727316439,6682617,1500479,673113.2994576492,544817.7306077094,3185053.3911985084,7771077.0,63910.66608405317,159964.85997534439
Healthcare,Early-stage,7982111,16,16.037479719231406,929,9.003202317081838,7644709,2523072,800594.6296006764,291540.9637143656,4271109.710732417,5184284.5,253431.52319961874,235270.14081028712
Retail,Mature,6429713,19,-6.427435856456912,37,17.133269411473076,2289274,4838298,910429.2735505728,449809.5632934026,1424837.2427098705,135321.33333333334,262343.92799730715,223087.51847345958
Manufacturing,Mature,4329153,7,13.466627739166572,857,18.811038563582525,3999142,-454995,680331.9785640859,581587.2037301557,2666872.4396847617,8147499.0,214039.4442090079,54532.53283745895
Manufacturing,Mature,575432,13,32.84985663871328,925,29.04040471360338,4833711,3830089,111280.47078642155,67835.03205377897,1950180.386305556,8230958.333333333,24782.794506184266,15814.542243434717
Retail,Mature,3678679,12,21.776227794618084,483,29.032282270935752,4018339,2922678,358190.4151932038,128488.95937930833,1634234.603874157,1945000.75,62193.28462354928,115486.99780843005
Finance,Growth-stage,920770,5,35.663099157673486,823,33.926466019937386,7866533,-433993,160919.14357538367,132396.1963307247,4147114.492175334,8127262.166666667,10280.244287829435,23763.345584682414
Finance,Growth-stage,2407528,1,4.454759401583656,242,36.15695511469642,4214228,3082974,478533.94616861275,357716.3088637367,2193259.950360992,1282842.0,110350.31167188003,37382.19892083351
Healthcare,Early-stage,7081135,2,5.19858406993278,215,2.999871085069973,3810404,1134176,1243281.3451699594,903051.6342256402,1776072.234723715,2074015.4166666667,123797.99620229701,85851.69675949201
Manufacturing,Early-stage,1657736,5,22.90766634285697,623,39.66542910245812,5378727,1609900,211962.1005463687,82181.93681630118,2613281.1283066664,4612536.25,38911.53725812898,28697.603066698775
Finance,Seed,9710463,15,1.599615365110866,796,3.9566944078476958,2762393,1689047,1282823.19017081,1389903.3284596428,1334295.8121660664,4142782.0,365836.1549034868,177842.582224329
Healthcare,Growth-stage,9697312,15,14.490902957095429,712,12.111210869541392,7317587,1201577,572905.7184048683,583201.3184268208,3294737.5989042446,3728625.3333333335,231708.06960088748,349891.1881980064
Finance,Mature,2665793,15,2.2863980529006156,488,10.802537867005364,4150312,2004348,402826.243193426,334691.1920729781,2038333.0881370406,2117757.3333333335,48143.86520806777,75652.0976627545
Tech,Mature,6837078,12,-3.8092398033420256,559,25.164874825553962,283101,1920967,1351511.3918487849,360868.0996406806,160344.54379990924,5397238.166666667,201986.05489108554,69359.74719641675
Retail,Seed,7398328,19,-6.831444348805556,7,44.47043698000746,4770590,2833246,1275689.2609212617,601713.1996645023,2882499.5401392872,65635.5,240429.5353480942,92329.5476175869
Manufacturing,Seed,7157432,12,31.78484108534272,181,39.774620723717405,4948273,3240060,799605.0603146814,576335.080869481,2040432.178889538,1615319.4166666667,115059.04715394336,244346.95594729827
Finance,Seed,7659378,19,36.39102223709236,53,22.79510809055583,2184942,266392,783861.9822227703,1009362.452704633,1352416.3142769379,368990.4166666667,191883.62093319156,226037.95163895303
Retail,Growth-stage,8702707,2,32.23749807792617,322,0.32997890166632793,1309951,3298014,1036196.9368377223,379254.2055839185,807739.6135437241,2711562.0,95947.11632247592,420807.82898858015
Healthcare,Mature,5518872,7,6.041567669553704,214,18.002477358805166,7995308,339845,747506.255166523,791781.6532045852,4370860.395294525,1963646.1666666667,147114.09195249408,197712.74346325517
Finance,Seed,6720140,17,10.833090480308066,369,12.483654877185106,1003474,2491420,1280272.7986187276,873989.5962671826,643786.2585120971,2532570.0,144684.1444374307,197099.41108369027
Finance,Early-stage,5100014,12,-6.139800089494226,76,36.46168752849724,4161331,3711788,781088.6126248353,752216.2196382086,2510247.2330938494,755674.3333333334,216141.32396516882,110507.05699380199
Healthcare,Early-stage,4156649,3,25.845605117799394,219,25.188458476546938,7928303,1942291,245008.122715597,499309.1654979512,3510621.593509374,1831515.25,47599.11175429845,206119.78093354974
Tech,Growth-stage,8999557,7,10.15720015915991,394,49.45570957671659,6759421,4711808,1190308.3642354198,1199815.7444510711,3132021.468229424,3669880.1666666665,341861.97707711987,376412.66500647366
Healthcare,Growth-stage,1158958,4,17.723620792176618,14,45.72057314796281,6208514,1429746,60704.110633476375,48261.12903488593,3357618.299773455,76471.5,12434.848187203044,52397.11384704818
Healthcare,Early-stage,3231375,1,-5.678215628741309,753,47.526502028138886,3782108,2892713,313562.03778036986,275346.8631688756,2128111.027556155,4465603.75,43782.77619296938,112501.75883346738
Finance,Growth-stage,6332527,9,14.109613070044624,744,43.83435608973839,1785013,3420982,1264774.1156584332,849872.9373287079,1136623.0752316865,3796632.0,292823.6492124051,121686.611868727
Tech,Seed,456669,1,25.1926804110715,939,18.772887072193186,1735776,92680,32769.69027151726,60624.04563329783,1190875.7742260636,8024302.75,5399.640789419383,13074.954490570433
Tech,Early-stage,1891506,6,35.70672448514919,758,25.41613796946727,6859602,2274584,152111.13918917673,208660.67483492903,3546168.181929027,4558359.333333333,28213.446309786967,26890.078162111797
Retail,Mature,691335,6,15.85625320219923,685,-3.149418713631322,1197304,3204420,103531.40633744033,39959.89594987588,721131.061919643,4620267.916666667,23871.467719126187,27645.953975174707
Finance,Seed,5600169,13,25.692287483691338,898,14.168921760250146,3712553,3487879,872075.0022445448,743718.3475880339,1903783.44729367,5782596.166666667,262129.45810125527,205223.16471955265
Finance,Early-stage,7716320,5,17.013714232125135,781,10.63687144758234,2766799,13606,685554.068219845,363611.9761319048,1269857.1061848542,5570807.916666667,162015.2681872598,291538.80513013335
Manufacturing,Mature,1135475,2,2.9049617444779052,678,30.70824419187076,3514029,2811912,97770.0381074125,45169.55848572598,2090723.4225594327,5342922.5,24863.426680808396,44280.557321616194
Manufacturing,Early-stage,5898147,12,15.19582125917541,382,46.39196134974909,1340335,1837554,621024.6341669493,438874.287842372,750735.1744884237,3101967.3333333335,84529.67216381828,181573.5010494619
Retail,Mature,866294,16,19.266745002854368,494,39.89267531874543,2030631,1799066,90827.73343267119,51563.6122163874,1315705.3746229175,4643394.166666667,8977.954335580876,32250.71284431585
Tech,Mature,7303620,18,29.981429716964065,814,47.9385841453728,1476869,1718693,747812.7334838586,937903.2043521476,894955.4869267973,4218012.333333333,92743.53206863617,183050.78462983447
Healthcare,Early-stage,9442211,17,15.162219144809388,16,0.18256459179896556,3001406,1707072,1619562.2138084136,563619.074357377,1773622.0993018523,152542.66666666666,457499.38047624513,185483.93765330332
Finance,Growth-stage,5991106,8,35.21963163764515,642,38.21264053006022,4710312,952821,475838.5082425632,895691.9782825198,3008663.001222695,4961429.5,117353.33612318453,228402.96766991596
Manufacturing,Growth-stage,1199634,6,-1.9561435071283793,787,5.168957631674427,7695435,1892294,162614.25907506546,128448.12546851988,5062191.283693673,4820309.416666667,33871.80116897988,35450.36680384491
Finance,Mature,247892,5,34.07306798242201,466,26.441164518487437,1335093,4323871,20021.22512358129,22575.77581817442,558051.3801643715,2493993.1666666665,3295.730631800831,2679.390780321819
Healthcare,Growth-stage,8511619,10,13.917584098993984,944,4.676342919928263,7266877,1631966,1217354.7842940888,855881.435026674,4524393.151682853,9405858.666666666,380994.0359423135,312650.1301862969
Manufacturing,Growth-stage,1462984,17,-9.97566879212368,346,13.567827029523642,1718523,2064925,115948.57501552848,167569.66655768748,699919.4669114079,2453860.8333333335,46148.611260225196,58827.6875502276
Finance,Mature,2008285,9,-0.9440522788799885,380,18.73045570699347,6729128,4899033,381461.37710532435,70369.84920762056,2808748.9961051345,2971916.6666666665,94563.90565238046,48731.13743743538
Retail,Early-stage,588939,14,-9.947534597915238,206,19.792821456159228,359209,2267464,38114.453055469414,39088.478703007866,229051.64971091997,1987419.3333333333,24115.805356866276,7699.0966409711245
Finance,Growth-stage,4863190,4,0.9102744879792937,842,37.41916633586282,2337359,1118859,671763.1989029346,241983.54690563973,1156881.7524318816,4467301.166666667,105898.75360730408,228316.1412990043
Tech,Growth-stage,2186886,5,6.943617418119526,194,45.047962593865485,5279395,3487452,351105.3226694836,327790.00324862864,2497275.484302953,990159.8333333334,89164.01250471128,32514.89553326461
Healthcare,Early-stage,8698351,11,-7.202095022542329,64,2.508888223318543,5596515,3531616,848262.1910394393,745110.2346232024,3883681.812905987,250784.0,412688.12407345563,130086.23582100587
Manufacturing,Seed,2815986,14,33.55960115430353,926,19.55946038006227,4298652,3200759,301265.2724478781,274345.0419480147,2590372.844660529,4203422.666666667,64944.91847799467,91108.71625831081
Healthcare,Mature,3219131,6,9.65062801696628,90,19.56722168865319,4206311,458268,449380.66206254344,299322.49111399,1959424.2395674693,538642.5,89539.78822855766,80562.46614723254
Retail,Mature,3848406,8,0.9243329052227782,504,29.475568124976746,520904,2626044,560273.9045811215,217395.65149520757,314859.631690745,3579870.0,140383.99293720283,120940.39568642603
Manufacturing,Growth-stage,1778089,17,23.370407653485053,573,3.8502855377937557,7910726,3753498,176970.59934799434,260617.61055001293,4865434.083867534,3075864.0,88640.8298304286,20847.586622902963
Manufacturing,Mature,2164870,1,-5.6243149582552405,657,8.752766716984095,2198292,3671142,276281.22241823334,93194.26112155833,1389929.5274277998,4880634.0,45958.40055344933,46366.24835968674
Finance,Growth-stage,3386255,12,15.56236034217687,794,13.950727081900649,6207735,1782964,294205.59095816355,205810.5697533053,2500055.618998234,2879176.3333333335,157785.55419724496,41741.882380077215
Tech,Growth-stage,9290020,15,13.57971215878597,849,48.430539831273464,6993959,2839278,835712.453973062,1350895.6455030262,4450357.184819224,6085632.0,247803.4242570518,346464.31590151397
Manufacturing,Mature,7421161,8,-0.7446296493110545,882,14.80441179573895,755429,3786528,1336980.7517755292,229859.97746222388,494913.5038238166,7757043.0,287946.24185348296,202965.40250645258
Retail,Mature,6186704,1,-1.939041987838415,828,49.75883093901534,2874129,4658752,482249.7446934046,673683.7857434298,1414873.697070277,6519120.0,93975.7030155009,288299.7963453836
Finance,Growth-stage,7432736,13,4.610396436236577,625,48.937388936247785,7878132,107368,1221199.7096009776,248190.42260148842,4971868.642249149,2367656.25,202745.85950849144,114740.41517505425
Finance,Mature,9630024,2,11.915299739720972,829,17.40333180757447,7485752,3820387,1709992.6041549563,964489.9387594394,4656482.179304727,2937492.4166666665,243057.5195834084,161253.0755387321
Retail,Growth-stage,1107482,6,8.828092930077094,353,-0.6370128616886666,6499576,635039,104365.09628545935,82986.23866889269,3521565.832362493,3449957.25,12269.948516546023,25066.476770145822
Tech,Seed,4577684,19,38.94821362998863,676,1.2197425956853252,5919213,3426521,908381.8433958738,628545.0776012421,3117459.1266546273,5207284.333333333,170878.31499233705,226443.97714795475
Finance,Seed,9912407,18,10.150717609039138,593,15.633795514155967,2057324,3353308,1564633.7838890522,793240.1054634232,881625.4359664734,4800928.0,350918.8948246238,357969.12443669926
Retail,Growth-stage,9813991,11,37.755019870412816,164,41.316026348754065,5249274,3458236,729915.2540043716,549974.6571362102,2154622.928488782,1316223.0,182862.2691606916,386884.96568585816
Finance,Mature,4482782,12,9.1814187834146,925,12.172921523013027,4255188,887811,408193.9194388117,509032.480275481,2212080.655159916,5030150.0,124749.85667393717,131860.0851111961
Retail,Growth-stage,6555918,7,35.613816948515435,434,31.409126155190528,86816,3658586,1241382.4176318925,620907.7559953887,37397.09277208253,2204069.0,295624.767760955,268995.4001506715
Retail,Growth-stage,4460742,19,28.949942702474118,509,42.43553319123193,6074452,3740833,472301.97277325357,657710.9363345603,3936935.188015231,2810655.5833333335,200340.89427925213,172655.4823816669
Finance,Growth-stage,7754552,1,-5.063165149382234,934,8.71221065795423,2512525,2079062,1456996.1237732728,677350.4533440286,1711622.3434100263,8708382.5,243672.89939877018,385259.3106089415
Manufacturing,Growth-stage,7544003,19,2.332418635304915,625,30.045649195920873,7506579,1230213,1327502.3178272995,237919.0024542182,4191526.47000184,4687447.916666667,94265.60878195241,255046.36892309538
Healthcare,Seed,4180124,2,7.369486416341072,385,-3.3607326116697473,6936122,3953820,465410.41838184075,448883.0975778913,4670312.345198058,2184072.9166666665,203750.03159415736,112170.29058393631
Retail,Mature,7075023,8,16.324312836784102,868,13.378010107294163,2013043,4669476,1015177.955573703,435091.77078725654,844282.6733855411,5212629.333333333,313165.7241387225,304821.34977308207
Retail,Growth-stage,6419583,6,20.77202300854649,214,37.81690716939739,1911372,1411767,1131761.5252173103,773578.0909672724,954390.6392460006,1488762.3333333333,157028.09330740388,174282.62194024067
